library,tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_std
dask,load_csv,0.5703045999999999,0.5390295,0.0651569924041584,0.0806294,0.077372,0.010904633848863416,0.01053788661956782,0.0013515177300285437
dask,load_json,20.9500805,20.597511500000003,1.5824922250464608,2.3356474,2.3153945,0.15033783353072214,0.2597270727157593,0.016874314788801185
dask,load_hdf,1.5784808,1.420559,0.4608225675108466,0.22136509999999995,0.202434,0.06339014178605026,0.02891945838928219,0.007545251343760233
dask,save_csv,28.192725799999998,28.025075,0.3541071892761665,2.7599608,2.7595,0.02157111926627822,0.3361127614974976,0.0049737687489721846
dask,save_json,24.774448299999996,24.660093,0.34629612598309567,2.5770279,2.5642955,0.05328601262047003,0.30172479152679443,0.004573744462222898
dask,save_hdf,30.6588141,29.833785,2.5134576123040118,3.0656121,2.9607645,0.27802733205905816,0.3555995225906372,0.031212843605612727
dask,isna,0.18466730000000003,0.17510900000000001,0.028572312655008435,0.026121899999999997,0.025666,0.0036613935552828334,0.00367405414581295,0.0002206615277893387
dask,dropna,0.5370104,0.4617905,0.20374375198883737,0.06602559999999999,0.068307,0.0032510158822538324,0.008727335929870569,0.0002253509923635497
dask,fillna,0.5258167,0.480681,0.09025539594340053,0.0777332,0.072422,0.01310927031446746,0.01041612625122065,0.0016665753457611556
dask,replace,0.1686822,0.16201700000000002,0.014631386748281173,0.0280985,0.028359000000000002,0.0022424976278941993,0.0036798000335692797,8.399697045563076e-05
dask,drop,0.4779713,0.45291000000000003,0.09072600770457781,0.06765499999999999,0.0683755,0.0016238975747667524,0.00884826183319086,0.00016332626121575886
dask,groupby,0.1101439,0.086945,0.08894539104597957,0.013492899999999999,0.014634000000000001,0.0019493484068044663,0.0017726898193359,9.609125218530068e-05
dask,concat_dataframes,1.6556843,1.559841,0.28120508872472033,0.23814609999999997,0.2219495,0.04710241030504113,0.03056700229644772,0.004437454943534976
dask,sort,0.42456569999999993,0.424193,0.0032555722845607265,0.0628233,0.0609395,0.003242730058659422,0.00842618942260736,0.00018510244160681636
dask,merge,2.1404913,2.1492864999999997,0.06968748746136409,0.2933471,0.295764,0.010499632389861182,0.038639116287231406,0.0012416192405906733
dask,count,5.7649935,5.7350005,0.1131443432329303,0.7543664999999999,0.7534415000000001,0.016836202179628678,0.09373986721038813,0.002160516958302559
dask,sum,2.4492859000000005,2.447565,0.07043763650752816,0.3687343,0.3730445,0.012334567614364661,0.04458131790161128,0.0015860634064503896
dask,mean,2.9769822,3.102531,0.2002103422624427,0.4455055,0.46390299999999995,0.03485928509259286,0.052598381042480435,0.0029308615637778147
dask,min,2.4659606,2.390894,0.23998236598698483,0.3578181,0.3517855,0.030174109282444267,0.043894529342651326,0.00380515418022933
dask,max,2.4281312,2.4229065,0.04943254383006316,0.35589919999999997,0.3531925,0.009243415948663129,0.04344239234924311,0.0011264000769230405
dask,unique,2.3375123999999996,2.336145,0.1374921166913458,0.3430337,0.3396365,0.020739889296018704,0.04174673557281489,0.002418340118815985
pandas,load_csv,3.2345561,3.064232,0.3367585647698923,0.4271917,0.433404,0.04296370886134275,0.05201196670532221,0.00553910713819565
pandas,load_json,20.340188599999998,20.1484165,0.8925781022706945,2.2913953,2.2825075000000004,0.08079247768896695,0.2523539066314697,0.009313252240715497
pandas,load_hdf,1.8875312999999998,1.6629595,0.7042263649665575,0.26930129999999997,0.241717,0.08919376921941727,0.033869314193725554,0.011156805635317835
pandas,save_csv,9.3840763,9.404212000000001,0.07039742100713316,1.0529262000000001,1.0563194999999999,0.011499169523636615,0.13698279857635495,0.0014887185822905072
pandas,save_json,4.360914199999999,4.41161,0.1583662836414368,0.5815867,0.588951,0.01879037583474879,0.07210211753845211,0.002358124558140743
pandas,save_hdf,1.8908156999999997,1.893459,0.14241724177379497,0.2689221,0.27034349999999996,0.01970669257694508,0.034333968162536595,0.0025210266975296642
pandas,isna,0.28071840000000003,0.2656855,0.045642905210387795,0.037875299999999994,0.0378215,0.00027044902990725975,0.0051542520523070795,7.864049290585373e-05
pandas,dropna,2.578454,2.578698,0.0856621552080549,0.34674980000000005,0.3450075,0.014043029190471856,0.04520139694213861,0.0014807014479849767
pandas,fillna,2.5627134,2.57702,0.07856818333594782,0.3415114,0.3429495,0.010512459445819513,0.04470167160034176,0.001314728543302199
pandas,replace,0.29841890000000004,0.162384,0.25401661290879296,0.027486699999999996,0.022622,0.01068388776564453,0.0039929628372192,0.001356880958958593
pandas,drop,0.31321811111111114,0.318908,0.013426878988101113,0.04581855555555556,0.0459,0.0002744854782639294,0.005879958470662378,8.687634100304615e-05
pandas,groupby,0.0883845,0.0899045,0.015481014008204442,0.014787600000000001,0.014765,7.878550346069743e-05,0.0018527746200561104,8.647935916768146e-05
pandas,concat_dataframes,0.7483869000000001,0.742552,0.062073992760342984,0.10877079999999999,0.1072835,0.0076716096789830705,0.01436061859130853,0.0010679832906347571
pandas,sort,0.6504013000000001,0.6027515,0.16575389134768448,0.08767820000000001,0.0875465,0.004130650441112957,0.01158249378204341,0.00019629411043665962
pandas,merge,2.9046253,2.8903429999999997,0.09801254425956572,0.3920194,0.3889105,0.01233587565869025,0.05027542114257808,0.001762953628764221
pandas,count,2.5360166000000004,2.529901,0.07075563698344693,0.3357328,0.335438,0.010587638387394151,0.0440871953964233,0.001294320335971197
pandas,sum,0.09046610000000001,0.08999599999999999,0.014716488820744951,0.014721500000000002,0.014696,8.769802987778265e-05,0.00191411972045892,9.127306220719701e-05
