library,tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_std
dask,load_csv,0.7330978,0.6932659999999999,0.11531135829069243,0.0987508,0.1029,0.014675350261199524,0.012548327445983831,0.0020667378984220238
dask,load_json,944.8823468,946.2848395000001,6.840441822291537,78.4329548,78.4200275,0.5232217611620444,9.876317954063415,0.06345029864921438
dask,load_hdf,1.6127764,1.4716755,0.46182461856380064,0.22817349999999997,0.2089065,0.06015147719115282,0.029903650283813414,0.0073847536074470995
dask,save_csv,969.6664815999999,964.743655,11.775353410595354,91.48291029999999,91.030907,1.1233753642546347,10.23204824924469,0.12355779158916144
dask,save_json,905.2216937999999,905.7906495,2.704146611727737,88.2010499,88.2606515,0.27582169956793856,9.57425012588501,0.029874214469274116
dask,save_hdf,2555.6783388,2556.7021345000003,114.8052723667139,258.2850893,259.2785355,14.346084635767692,26.57818419933319,1.1644942204760182
dask,isna,0.19331000000000004,0.20538299999999998,0.02259718581790416,0.0288773,0.0300115,0.0019315052305276205,0.00392963886260983,0.00020308214261920398
dask,dropna,0.49109420000000004,0.424896,0.14623431918199714,0.0619896,0.0608785,0.0025120789619578264,0.008275604248046822,0.00026531333558962086
dask,fillna,0.47694000000000003,0.42715400000000003,0.15016896229395887,0.0650727,0.064719,0.0033428599548556894,0.0086436033248901,0.00021030796565114823
dask,replace,0.1719541,0.16363499999999997,0.023380011464924477,0.027847600000000007,0.029927,0.0032457197523987047,0.00367763042449947,0.00012253810168442656
dask,drop,0.48372669999999995,0.42666499999999996,0.13983078096363474,0.0633803,0.0624165,0.003143808732166198,0.00850729942321772,0.00023832239224048064
dask,groupby,0.14162550000000002,0.10330149999999999,0.1529634839643109,0.0145089,0.0147645,0.0035985445344842775,0.0019884347915649003,0.0002887196043340666
dask,concat_dataframes,2.353284,1.4242215,1.6093186962460577,0.34278899999999995,0.204592,0.2403042918708602,0.04096331596374509,0.023828964096178244
dask,sort,0.40376460000000003,0.41030750000000005,0.022881482174214342,0.06055609999999999,0.060925,0.0012398490454710838,0.00798509120941158,0.0002845699825208106
dask,merge,1.8566662999999999,1.860255,0.07578750760888407,0.2609199,0.260528,0.013065635634918213,0.03432888984680173,0.0015655310191768931
dask,count,104.81991580000002,104.68591950000001,1.6166010469188992,10.086792899999999,10.0991095,0.15690795450302117,1.1389975070953369,0.01743588310644203
dask,sum,46.4253329,46.2274205,1.080713397298741,4.6589984,4.6505805,0.09794433151336536,0.5235188722610473,0.011505758905000182
dask,mean,46.752114000000006,46.362399499999995,1.1236586588373823,4.7046277,4.6967479999999995,0.11167584120922878,0.5260788440704346,0.008341665599444452
dask,min,45.745750900000004,45.772954,0.3607488373205094,4.6040928999999995,4.6067160000000005,0.06210752946561486,0.5164999485015869,0.004691901219268241
dask,max,45.7697925,45.625981499999995,0.41869556322178886,4.6019998,4.5833675,0.0563748727277205,0.5163193702697754,0.004230210411971835
dask,unique,47.5267336,47.593475,0.3717839137991607,4.765130399999999,4.7539015,0.04343923568797625,0.5349688768386841,0.00331514008005318
pandas,load_csv,81.1634704,79.684275,4.849152149416416,7.778437200000001,7.6610315,0.35680819666681196,0.8799322605133056,0.04086415958584333
pandas,load_json,950.5521073999998,948.6749090000001,4.7849303172490485,78.5983703,78.4450585,0.6021644452476855,9.889738249778748,0.059745530584245365
pandas,load_hdf,42.8693729,42.2145225,2.0455184850109904,4.6466437,4.587414,0.19752319291333312,0.49282064437866213,0.021345286525327828
pandas,save_csv,185.54754140000003,185.5896735,0.919601723517211,15.2167497,15.17747,0.1555272625347939,1.953752875328064,0.005593337356336994
pandas,save_json,50.3568844,50.240808,0.36426034541373453,5.0874869,5.082981,0.027247198194187548,0.561943244934082,0.0031446694974169827
pandas,save_hdf,27.692641599999995,27.682882,0.368764949523315,3.0247932000000004,3.032032,0.03727222356840729,0.3304084539413452,0.003914295958175369
pandas,isna,1.8588573,1.8736515,0.07781102523714464,0.2675972,0.2688515,0.010547369380297843,0.03366479873657221,0.0012845332088488595
pandas,dropna,7.872935299999999,7.8559065,0.1146854630999741,0.9778828,0.977211,0.009469957254391393,0.1192148923873901,0.001291606922061577
pandas,fillna,7.2870848,7.261975,0.235754649678573,0.8977472999999998,0.900481,0.019405951584501095,0.11021287441253658,0.00216237332882
pandas,replace,1.0882234,1.085477,0.019947120506200625,0.1749462,0.174137,0.004440657729060712,0.02040166854858394,0.00040106921437030535
pandas,drop,0.8878395999999998,0.825681,0.16288887192820892,0.14501500000000003,0.1369805,0.02145092052414845,0.01653249263763422,0.0030586157094857997
pandas,groupby,0.10488850000000001,0.105133,0.004785845594621243,0.014553500000000002,0.0146345,0.0003517746279777565,0.0020889043807983004,9.121014277846256e-05
pandas,concat_dataframes,3.2970556,3.22631,0.16355613726736828,0.5356729,0.5325545,0.017576965775633113,0.055690217018127375,0.0023746464707006683
pandas,sort,2.7620841,2.7495045,0.06434650086048883,0.4252329,0.4229305,0.010483731984471096,0.0484657526016235,0.001134829273536161
pandas,merge,37.02326969999999,36.966275499999995,0.5923480138008294,3.7945113,3.780049,0.0684149106539568,0.4256511926651001,0.006924605219805547
pandas,count,6.989239900000001,6.954785,0.12326170787254073,0.8646961,0.8597455,0.0174728955652271,0.10754981040954585,0.002294873464650202
pandas,sum,0.1092343,0.103576,0.016693909641609488,0.014815100000000001,0.014772500000000001,0.0003054026304187089,0.00216703414916987,0.00010155380223689585
