timestamp,tag,duration,package,dram
1672944625.49631,load_csv,0.039381742477417,3862234,334059
1672944655.56688,load_json,0.258724451065063,21021126,2312656
1672944685.85744,load_hdf,0.065357446670532,3881214,521240
1672944715.96525,save_csv,0.137587308883667,9417029,1055792
1672944746.13398,save_json,0.069468021392822,4176747,558129
1672944776.23474,save_hdf,0.03244686126709,1790828,250507
1672944836.38236,isna,0.005128145217896,271666,37561
1672944866.41894,dropna,0.048879861831665,2783684,381336
1672944896.49941,fillna,0.044342517852783,2534235,338804
1672944926.57525,replace,0.004013061523438,213257,30019
1672944956.69772,drop,0.005976676940918,322692,45579
1672944986.73604,groupby,0.002024173736572,103271,14949
1672945046.80727,concat_dataframes,0.017257690429688,914304,129453
1672945076.85682,sort,0.011793851852417,609557,92794
1672945106.90102,merge,0.049199104309082,3002373,387090
1672945167.06628,count,0.042168855667114,2678032,320413
1672945197.13961,sum,0.001972198486328,105591,14657
1672945227.17319,mean,0.001791477203369,80079,14902
1672945257.20642,min,0.001742362976074,120483,10389
1672945287.23956,max,0.001628875732422,53222,14887
1672945317.27259,unique,0.002022981643677,108276,14672
1672945347.30607,load_csv,0.05068564414978,2957757,405206
1672945377.38836,load_json,0.267010927200317,21749944,2430895
1672945407.68735,load_hdf,0.031100988388062,1695186,246208
1672945437.76232,save_csv,0.134397983551025,9314980,1034264
1672945467.92805,save_json,0.069907426834106,4175770,562687
1672945498.02919,save_hdf,0.031834363937378,1736629,249941
1672945558.17512,isna,0.0051589012146,264953,37836
1672945588.21174,dropna,0.045117139816284,2590813,347723
1672945618.28825,fillna,0.041764259338379,2376704,315991
1672945648.36149,replace,0.00344443321228,158509,22460
1672945678.48126,drop,0.00574254989624,288695,45916
1672945708.51938,groupby,0.001816749572754,76476,14750
1672945768.59026,concat_dataframes,0.013937950134277,722471,107252
1672945798.63643,sort,0.011433839797974,591795,84838
1672945828.68016,merge,0.05326247215271,3066581,414109
1672945888.84465,count,0.043817043304443,2484978,332883
1672945918.91964,sum,0.001828193664551,76904,14810
1672945948.92767,mean,0.001935482025146,103332,14520
1672945978.9435,min,0.001595735549927,51331,14749
1672946008.97649,max,0.001670360565186,49988,14718
1672946039.00958,unique,0.002009630203247,104737,14810
1672946069.04301,load_csv,0.050660133361816,2956535,415135
1672946099.1253,load_json,0.242085456848144,19572154,2197783
1672946129.39906,load_hdf,0.028701782226563,1558651,224375
1672946159.47185,save_csv,0.137448787689209,9439246,1060244
1672946189.64045,save_json,0.073157072067261,4438160,594420
1672946219.7449,save_hdf,0.040425777435303,2207514,316710
1672946279.90474,isna,0.005336284637451,267150,37638
1672946309.94154,dropna,0.043696880340576,2480340,331459
1672946340.01677,fillna,0.046697378158569,2652886,355771
1672946370.09497,replace,0.003551006317139,143188,22904
1672946400.21374,drop,0.005879958470662,313218,45819
1672946430.25192,groupby,0.001950025558472,105224,14780
1672946490.32349,concat_dataframes,0.013519048690796,692137,99603
1672946520.36936,sort,0.011617422103882,1117735,87424
1672946550.41338,merge,0.052764415740967,2995721,404670
1672946610.58104,count,0.044776201248169,2522638,337993
1672946640.65678,sum,0.001857042312622,76294,14673
1672946670.69019,mean,0.001722097396851,101013,14902
1672946700.72333,min,0.001699924468994,78186,14566
1672946730.75645,max,0.0017249584198,77637,14642
1672946760.78962,unique,0.002012252807617,104186,14718
1672946790.82307,load_csv,0.051871776580811,3035942,432532
1672946820.88001,load_json,0.254652976989746,20548226,2318869
1672946851.16635,load_hdf,0.031425952911377,1708430,246727
1672946881.24301,save_csv,0.138285636901855,9473547,1061285
1672946911.41248,save_json,0.073732376098633,4417225,580757
1672946941.51748,save_hdf,0.035295963287354,1929012,275951
1672947001.66786,isna,0.005167722702026,264343,38006
1672947031.7045,dropna,0.044438600540161,2524346,339813
1672947061.78042,fillna,0.044610977172852,2639520,338390
1672947091.85661,replace,0.003464221954346,162659,22691
1672947121.97832,drop,0.005993604660034,320861,45472
1672947152.01665,groupby,0.001779794692993,103515,14795
1672947212.08739,concat_dataframes,0.014495134353638,753904,107925
1672947242.1349,sort,0.011879920959473,637144,89750
1672947272.17929,merge,0.04898476600647,2836480,384015
1672947332.34103,count,0.043743848800659,2486565,331276
1672947362.41595,sum,0.002043485641479,102417,14857
1672947392.44957,mean,0.001752376556396,102172,14796
1672947422.48275,min,0.001583814620972,49438,14780
1672947452.51614,max,0.001656293869019,51208,14902
1672947482.54919,unique,0.002013444900513,102112,14825
1672947512.58265,load_csv,0.054043292999268,3614432,443700
1672947542.66831,load_json,0.242602348327637,19380627,2208433
1672947572.92749,load_hdf,0.030604124069214,1658626,241633
1672947603.00229,save_csv,0.137337923049927,9356177,1055869
1672947633.17075,save_json,0.074504613876343,4495655,591896
1672947663.27657,save_hdf,0.032061815261841,1737239,253689
1672947723.42244,isna,0.005109310150146,410034,37807
1672947753.45899,dropna,0.046079874038696,2612908,355251
1672947783.53655,fillna,0.045535087585449,2587273,346774
1672947813.61361,replace,0.003530740737915,162109,22415
1672947843.73494,drop,0.005844831466675,316406,46007
1672947873.77378,groupby,0.001808881759644,79101,14749
1672947933.84457,concat_dataframes,0.014104843139648,748473,107391
1672947963.89151,sort,0.011240243911743,558958,84288
1672947993.93505,merge,0.04801607131958,2757012,374100
1672948054.09879,count,0.042958736419678,2485590,330266
1672948084.17295,sum,0.001822710037231,77026,14626
1672948114.20633,mean,0.001782894134521,106201,14780
1672948144.23953,min,0.001743078231812,78307,14733
1672948174.27269,max,0.00162410736084,50598,14810
1672948204.30572,unique,0.002027034759521,101134,14750
