timestamp,tag,duration,package,dram
1672989330.74354,load_csv,0.084212064743042,7880351,685485
1672989360.85931,load_json,0.306759357452393,26234552,3005226
1672989391.1977,load_hdf,0.024744298723009,1311351,187794
1672989421.61181,save_csv,0.162307500839233,12485624,1519902
1672989451.80546,save_json,0.145726919174194,10060155,1419856
1672989481.98282,save_hdf,0.316772699356079,19987925,2619911
1672989542.44563,isna,0.00325083732605,160949,23409
1672989572.48038,dropna,0.015365839004517,848509,116555
1672989602.50936,fillna,0.02876615524292,1511227,219356
1672989632.56934,replace,0.002797603607178,99364,19141
1672989722.8325,drop,0.003554344177246,159851,30768
1672989752.86757,groupby,0.155469417572021,9664098,1427719
1672989783.05476,concat_dataframes,0.005104064941406,306457,38142
1672989813.09113,sort,0.006971836090088,380735,56151
1672989843.12945,merge,0.011009931564331,588683,83843
1672989903.28749,count,0.018560171127319,941648,144799
1672989933.33762,sum,0.026253461837769,1414487,207054
1672989963.3954,mean,0.025929927825928,1413022,200033
1672989993.45279,min,0.025482416152954,1350887,191985
1672990023.50975,max,0.024729013442993,1305050,183616
1672990053.56598,unique,0.031860113143921,1721797,243300
1672990083.62908,load_csv,0.084434747695923,6367659,719711
1672990113.74503,load_json,0.480475664138794,42264052,4647039
1672990144.2573,load_hdf,0.024197340011597,1285886,187119
1672990174.31276,save_csv,0.195059299468994,14723169,1715590
1672990204.53937,save_json,0.149266481399536,12212799,1337326
1672990234.71996,save_hdf,0.312941789627075,19074108,2441788
1672990295.18427,isna,0.003352880477905,161011,22475
1672990325.21911,dropna,0.021046161651611,1133847,160879
1672990355.27199,fillna,0.026468276977539,1408932,199175
1672990385.32985,replace,0.002528667449951,106689,14626
1672990475.59364,drop,0.003301382064819,157653,22430
1672990505.62839,groupby,0.065751552581787,4031179,642723
1672990535.72575,concat_dataframes,0.00428318977356,216980,30156
1672990565.76149,sort,0.005959749221802,982907,47400
1672990595.8028,merge,0.009671688079834,683105,76348
1672990655.93994,count,0.018625736236572,980343,145578
1672990685.99008,sum,0.021133422851563,1141660,160727
1672990716.04469,mean,0.024582624435425,1296933,183600
1672990746.10072,min,0.023478269577026,1238339,175934
1672990776.15567,max,0.023935317993164,1268063,184380
1672990806.21115,unique,0.030264616012573,1640132,230555
1672990836.27293,load_csv,0.082880735397339,5314440,674026
1672990866.38701,load_json,0.320089340209961,27161551,2886958
1672990896.7235,load_hdf,0.025938272476196,1391477,198870
1672990926.7806,save_csv,0.173506736755371,12775236,1465097
1672990956.98548,save_json,0.136828660964966,9332129,1222179
1672990987.15367,save_hdf,0.315300226211548,20098338,2467859
1672991047.61986,isna,0.003066062927246,155884,22521
1672991077.6544,dropna,0.018728971481323,1011229,145136
1672991107.70451,fillna,0.027295827865601,1457760,206688
1672991137.76288,replace,0.002465009689331,103882,14565
1672991228.03051,drop,0.003412485122681,153564,22385
1672991258.0654,groupby,0.061518669128418,3938894,632457
1672991288.15853,concat_dataframes,0.004197597503662,210815,29850
1672991318.19415,sort,0.005578279495239,288696,38159
1672991348.23117,merge,0.009788513183594,477416,76469
1672991408.38884,count,0.016931295394897,913450,128978
1672991438.43718,sum,0.019567728042603,1250912,142458
1672991468.48814,mean,0.030479669570923,1617182,230939
1672991498.55006,min,0.021609783172607,1238949,160864
1672991528.60307,max,0.022378206253052,1191709,169233
1672991558.65682,unique,0.028220891952515,1525509,217520
1672991588.71649,load_csv,0.082324743270874,5316759,675954
1672991618.83046,load_json,0.307915449142456,25685053,2790690
1672991649.17002,load_hdf,0.024468183517456,1282529,183600
1672991679.22574,save_csv,0.174178123474121,13057035,1470268
1672991709.43137,save_json,0.129412651062012,8762124,1145296
1672991739.59201,save_hdf,0.312580585479736,20031871,2444358
1672991800.05865,isna,0.003190040588379,161376,22537
1672991830.09329,dropna,0.017327547073364,903807,129667
1672991860.14191,fillna,0.025009155273438,1367490,191404
1672991890.19815,replace,0.002418518066406,540342,14902
1672991980.46399,drop,0.003347635269165,264953,38586
1672992010.50084,groupby,0.0621018409729,4043264,643779
1672992040.58748,concat_dataframes,0.004209041595459,209350,30156
1672992070.62313,sort,0.008053064346313,569091,62424
1672992100.66258,merge,0.009553670883179,477722,68513
1672992160.81465,count,0.016440391540527,868162,122093
1672992190.86258,sum,0.020311117172241,1079955,152985
1672992220.91437,mean,0.024104356765747,1307858,183401
1672992250.96995,min,0.023135185241699,1218441,176042
1672992281.02454,max,0.02208399772644,1188047,168698
1672992311.07807,unique,0.030519247055054,1620052,230235
1672992341.1401,load_csv,0.087146759033203,5491014,706600
1672992371.24347,load_json,0.3029465675354,25311825,2740567
1672992401.57796,load_hdf,0.022960901260376,1212887,176333
1672992431.63211,save_csv,0.174286365509033,13035794,1477827
1672992461.83781,save_json,0.126884460449219,8561563,1131466
1672992491.99596,save_hdf,0.307914972305298,19413279,2417905
1672992552.45611,isna,0.003256320953369,155456,22445
1672992582.49085,dropna,0.018426895141602,970762,137042
1672992612.54061,fillna,0.028393507003784,1530819,215286
1672992642.6003,replace,0.002577781677246,98754,17992
1672992732.87064,drop,0.003305435180664,156067,22308
1672992762.90541,groupby,0.046166181564331,2756768,465426
1672992792.98331,concat_dataframes,0.004125833511353,210205,30233
1672992823.01888,sort,0.005619764328003,712889,42488
1672992853.05591,merge,0.00958776473999,483519,76194
1672992913.21014,count,0.017135858535767,909300,130065
1672992943.25878,sum,0.021032333374023,1128293,159748
1672992973.31131,mean,0.027739763259888,1466061,215883
1672993003.37052,min,0.022234201431274,1648494,168438
1672993033.41946,max,0.023801326751709,1244992,183737
